Course Code,Course Name,Stream,Interests,Job Roles,Industries,Core Skills
19,Arts,Arts,"Arts, Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Writing, Reading, Culture, Society, Acting/Performing, Music, Media and Journalism, Public speaking","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Teacher/Lecturer, Translator, Social Worker, Public Relations Officer, Media Producer, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
20,Arts (SP) – Mass Media,Arts,"Arts (SP) – Mass Media, Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Writing, Reading, Culture, Society, Acting/Performing, Music, Media and Journalism, Public speaking","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Broadcaster/Anchor, Film Director, Teacher/Lecturer, Translator, Social Worker, Public Relations Officer, Media Producer, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
41,Arts (SP) – Performing Arts,Arts,"Arts (SP) – Performing Arts, Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Writing, Reading, Culture, Society, Acting/Performing, Music, Media and Journalism, Public speaking","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Teacher/Lecturer, Translator, Social Worker, Public Relations Officer, Media Producer, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
21,Arts (SAB),Arts or Commerce,"Arts (SAB), Literature, History, Philosophy, Sociology, Creative writing, Culture studies, Languages, Critical thinking, Human behavior, Art history, Geography, Business, Money & Finance, Leadership, Marketing, Working with people, Startups, Economics, Sales, Managing teams, Strategic planning, Corporate world","Teacher/Educator, Writer/Author, Journalist, Sociologist, Historian, Public Relations Specialist, Archivist, Civil Servant, Editor/Publisher, Museum Curator, Business Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Entrepreneur, Management Consultant, Logistics Manager, Sales Director, Project Manager","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Human Resources, Supply Chain & Logistics, Real Estate, Insurance, Consulting, Startups","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Leadership, Financial analysis, Strategic planning, Negotiation, Marketing, Accounting, Problem solving, Time management, Data-driven decision making"
29,Communication Studies,Arts,"Communication Studies, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
31,Peace and Conflict Resolution,Any (all streams eligible),"Peace and Conflict Resolution, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
63,Islamic Studies,Arts,"Islamic Studies, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
84,Arabic Language,Arts,"Arabic Language, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
105,Teaching English as a Second Language (TESL),Arts,"Teaching English as a Second Language (TESL), Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Teaching, Working with children, Mentoring, Subject mastery, Education psychology, Coaching, Sports, Helping others learn, Community building","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Teacher, Lecturer, Educational Administrator, Principal, Curriculum Developer, Special Education Teacher, Sports Coach, Corporate Trainer, Education Consultant, Student Counselor","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Schools, Universities, Government Education Dept, Corporate Training, Sports Academies, E-learning, Tutoring Centers, Childcare","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Teaching, Patience, Lesson planning, Public speaking, Mentoring, Classroom management, Subject expertise, Adaptability"
112,Social Work,Arts,"Social Work, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Acting/Performing, Music","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Musician, Actor/Director","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Cultural awareness, Language proficiency, Interpersonal skills"
